task,parents,category,start,end,effort,ishabit,tags
Website,,,2020-01-21 13:47,2020-01-21 16:14,,,
Website,,,2020-01-21 09:10,2020-01-21 09:44,,,
Website,,,2020-01-21 08:18,2020-01-21 08:29,,,
Optimal transport post,Website/Write blog,,2020-01-17 13:28,2020-01-17 17:30,,,
Optimal transport post,Website/Write blog,,2020-01-17 08:00,2020-01-17 10:54,,,
Optimal transport post,Website/Write blog,,2020-01-16 15:32,2020-01-16 17:53,,,
Optimal transport post,Website/Write blog,,2020-01-16 08:12,2020-01-16 10:31,,,
Optimal transport post,Website/Write blog,,2020-01-14 13:40,2020-01-14 14:34,,,
Neural architecture search post,Website/Write blog,,2020-02-02 15:09,2020-02-02 15:10,,,
Neural architecture search post,Website/Write blog,,2020-01-27 21:34,2020-01-27 22:33,,,
Neural architecture search post,Website/Write blog,,2020-01-15 13:47,2020-01-15 16:44,,,
Org-clock viz export post,Website/Write blog,,2020-02-04 08:30,2020-02-04 08:55,,,
Make about page,Website,,2020-01-24 09:00,2020-01-24 09:16,,,
Make about page,Website,,2020-01-22 16:42,2020-01-22 17:31,,,
Make about page,Website,,2020-01-21 08:29,2020-01-21 09:10,,,
Work on personal website,Website,,2020-01-09 17:44,2020-01-09 18:15,,,
Work on personal website,Website,,2019-11-28 14:00,2019-11-28 14:11,,,
Work on personal website,Website,,2019-11-27 13:18,2019-11-27 15:25,,,
Work on personal website,Website,,2019-11-26 19:09,2019-11-26 21:30,,,
Work on personal website,Website,,2019-11-26 16:30,2019-11-26 18:02,,,
Make sitemap,Website/Work on personal website,,2020-01-13 14:46,2020-01-13 14:56,,,
Sand-splines reproduction,Generative art,,2020-01-29 10:35,2020-01-29 11:17,,,
Pair w/ genetic algorithm,Generative art/Sand-splines reproduction,,2020-01-31 08:23,2020-01-31 08:59,,,
Pair w/ genetic algorithm,Generative art/Sand-splines reproduction,,2020-01-30 18:41,2020-01-30 18:55,,,
Org report viz,,,2020-02-03 20:20,2020-02-03 21:11,,,
Org report viz,,,2020-02-03 16:35,2020-02-03 17:03,,,
Org report viz,,,2020-02-03 15:04,2020-02-03 16:34,,,
Org report viz,,,2020-02-02 15:10,2020-02-02 16:31,,,
Add useful info,Org report viz,,2020-02-04 13:21,2020-02-04 14:37,,,
Add useful info,Org report viz,,2020-02-03 21:11,2020-02-03 21:42,,,
Figure out SVG export,Org report viz,,2020-02-04 21:05,2020-02-04 21:23,,,
Discogs harvester,,,2020-02-04 17:40,2020-02-04 17:56,,,
Discogs harvester,,,2020-02-04 16:01,2020-02-04 16:31,,,
"AI-GAs: AI-generating algorithms, an alternate paradigm for producing general artificial intelligence",Other,,2020-01-28 10:29,2020-01-28 12:38,,,
Legendre Memory Units: Continuous-Time Representation in Recurrent Neural Networks,Other,,2019-12-12 15:08,2019-12-12 15:42,,,
